"Rk","Team","Overall","Home","Road","X3","X10","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Season","Wins","Losses"
" 3","San Antonio Spurs","59-23","38-3","21-20","9-7","40-5",NA,"12-3","13-3","12-4","6-3","10-5","6-5",NA,"2005","59","23"
" 4","Dallas Mavericks","58-24","29-12","29-12","8-4","28-10",NA,"10-6","9-4","9-4","10-3","10-6","10-1",NA,"2005","58","24"
" 5","Detroit Pistons","54-28","32-9","22-19","8-8","26-14",NA,"7-7","8-6","11-5","9-1","9-8","10-1",NA,"2005","54","28"
" 6","Seattle SuperSonics","52-30","26-15","26-15","7-5","25-15",NA,"13-3","9-3","8-7","8-3","11-6","3-8",NA,"2005","52","30"
" 7","Houston Rockets","51-31","26-15","25-16","12-6","28-11",NA,"6-10","9-5","10-6","7-3","12-4","7-3",NA,"2005","51","31"
" 8","Sacramento Kings","50-32","30-11","20-21","10-7","20-15",NA,"9-5","9-4","12-4","6-8","8-8","6-3",NA,"2005","50","32"
" 9","Denver Nuggets","49-33","31-10","18-23","8-4","25-18",NA,"8-6","6-9","5-10","8-4","12-2","10-2",NA,"2005","49","33"
"10","Chicago Bulls","47-35","27-14","20-21","7-5","15-15",NA,"1-10","8-7","13-3","7-4","11-7","7-4",NA,"2005","47","35"
"11","Boston Celtics","45-37","27-14","18-23","11-7","16-14",NA,"5-8","8-8","8-8","8-4","9-5","7-4",NA,"2005","45","37"
"12","Memphis Grizzlies","45-37","26-15","19-22","7-11","23-12",NA,"5-10","9-7","12-3","5-5","8-6","6-6",NA,"2005","45","37"
"13","Washington Wizards","45-37","29-12","16-25","14-6","16-16",NA,"7-5","8-8","11-4","5-7","9-6","5-7",NA,"2005","45","37"
"14","Indiana Pacers","44-38","25-16","19-22","9-9","18-12",NA,"10-4","5-9","5-10","8-4","9-7","7-4",NA,"2005","44","38"
"15","Minnesota Timberwolves","44-38","24-17","20-21","5-6","16-15",NA,"8-5","8-6","8-9","4-9","10-5","6-4",NA,"2005","44","38"
"16","Philadelphia 76ers","43-39","25-16","18-23","10-4","13-15",NA,"6-7","7-8","8-8","5-6","9-7","8-3",NA,"2005","43","39"
"17","New Jersey Nets","42-40","24-17","18-23","7-4","19-26",NA,"3-11","7-7","8-8","7-6","9-6","8-2",NA,"2005","42","40"
"18","Cleveland Cavaliers","42-40","29-12","13-28","4-5","27-20",NA,"9-5","8-7","9-5","5-7","6-9","5-7",NA,"2005","42","40"
"19","Los Angeles Clippers","37-45","27-14","10-31","4-13","15-19",NA,"9-6","4-9","9-8","3-9","7-8","5-5",NA,"2005","37","45"
"20","Orlando Magic","36-46","24-17","12-29","10-5","10-22",NA,"8-5","7-7","9-8","4-7","6-10","2-9",NA,"2005","36","46"
"21","Golden State Warriors","34-48","20-21","14-27","4-10","14-22",NA,"3-10","8-8","1-14","4-7","10-6","8-3",NA,"2005","34","48"
"22","Los Angeles Lakers","34-48","22-19","12-29","6-10","11-23",NA,"9-6","6-6","8-7","5-8","5-11","1-10",NA,"2005","34","48"
"23","New York Knicks","33-49","22-19","11-30","9-11","13-17",NA,"7-6","9-7","2-13","6-7","5-8","4-8",NA,"2005","33","49"
"24","Toronto Raptors","33-49","22-19","11-30","6-9","16-21",NA,"7-9","3-12","8-6","6-5","5-10","4-7",NA,"2005","33","49"
"25","Milwaukee Bucks","30-52","23-18","7-34","8-8","10-21",NA,"4-8","5-9","6-10","8-4","4-13","3-8",NA,"2005","30","52"
"26","Portland Trail Blazers","27-55","18-23","9-32","8-5","9-21",NA,"8-6","5-8","4-11","5-7","2-14","3-9",NA,"2005","27","55"
"27","Utah Jazz","26-56","18-23","8-33","6-10","13-31",NA,"8-7","3-12","4-11","4-7","3-12","4-7",NA,"2005","26","56"
"28","Charlotte Bobcats","18-64","14-27","4-37","5-16","6-29",NA,"3-10","4-9","2-13","2-10","4-13","3-9",NA,"2005","18","64"
"29","New Orleans Hornets","18-64","11-30","7-34","6-11","3-31",NA,"1-12","1-14","6-10","3-9","5-9","2-10",NA,"2005","18","64"
"30","Atlanta Hawks","13-69","9-32","4-37","2-8","3-43",NA,"2-12","3-11","4-11","1-11","1-15","2-9",NA,"2005","13","69"
" 1","Detroit Pistons","64-18","37-4","27-14","7-4","32-8",NA,"11-2","13-2","13-2","10-3","11-5","6-4",NA,"2006","64","18"
" 2","San Antonio Spurs","63-19","34-7","29-12","10-2","31-11",NA,"11-3","13-4","11-3","9-2","12-4","7-3",NA,"2006","63","19"
" 3","Dallas Mavericks","60-22","34-7","26-15","11-6","28-10",NA,"10-4","12-4","13-2","10-1","9-8","6-3",NA,"2006","60","22"
" 4","Phoenix Suns","54-28","31-10","23-18","0-7","34-9",NA,"8-5","11-5","10-6","9-1","11-6","5-5",NA,"2006","54","28"
" 5","Miami Heat","52-30","31-10","21-20","8-4","27-11",NA,"9-6","9-7","10-5","8-2","12-3","4-7",NA,"2006","52","30"
" 6","Cleveland Cavaliers","50-32","31-10","19-22","9-4","20-11",NA,"10-4","8-6","8-7","6-8","10-4","8-3",NA,"2006","50","32"
" 7","Memphis Grizzlies","49-33","30-11","19-22","6-10","30-13",NA,"10-5","9-5","7-8","5-8","10-6","8-1",NA,"2006","49","33"
" 8","New Jersey Nets","49-33","29-12","20-21","8-6","21-17",NA,"7-8","10-4","6-8","8-5","12-3","6-5",NA,"2006","49","33"
" 9","Los Angeles Clippers","47-35","27-14","20-21","6-5","24-19",NA,"10-5","6-7","9-5","7-6","10-6","5-6",NA,"2006","47","35"
"10","Los Angeles Lakers","45-37","27-14","18-23","7-9","25-15",NA,"5-8","10-6","9-6","5-8","10-7","6-2",NA,"2006","45","37"
"11","Denver Nuggets","44-38","26-15","18-23","12-8","22-20",NA,"8-8","6-9","11-5","5-5","11-5","3-6",NA,"2006","44","38"
"12","Sacramento Kings","44-38","27-14","17-24","6-5","21-21",NA,"7-8","5-9","7-9","7-4","11-6","7-2",NA,"2006","44","38"
"13","Washington Wizards","42-40","27-14","15-26","5-8","24-16",NA,"7-7","5-9","9-6","8-4","8-8","5-6",NA,"2006","42","40"
"14","Chicago Bulls","41-41","21-20","20-21","6-10","14-16",NA,"7-6","5-11","8-7","5-7","7-9","9-1",NA,"2006","41","41"
"15","Indiana Pacers","41-41","27-14","14-27","4-10","26-14",NA,"9-5","6-7","6-10","7-3","7-11","6-5",NA,"2006","41","41"
"16","Utah Jazz","41-41","22-19","19-22","7-2","17-23",NA,"6-9","8-7","7-8","6-5","7-9","7-3",NA,"2006","41","41"
"17","Milwaukee Bucks","40-42","25-16","15-26","11-6","15-18",NA,"7-6","9-5","7-10","6-7","7-8","4-6",NA,"2006","40","42"
"18","New Orleans/Oklahoma City Hornets","38-44","24-17","14-27","7-5","14-28",NA,"7-7","5-10","10-5","9-4","3-11","4-7",NA,"2006","38","44"
"19","Philadelphia 76ers","38-44","23-18","15-26","9-7","12-21",NA,"8-8","7-7","8-7","5-6","5-10","5-6",NA,"2006","38","44"
"20","Orlando Magic","36-46","26-15","10-31","4-6","15-19",NA,"7-7","5-8","6-9","2-12","9-8","7-2",NA,"2006","36","46"
"21","Seattle SuperSonics","35-47","22-19","13-28","4-4","15-24",NA,"6-8","7-8","5-10","4-10","7-7","6-4",NA,"2006","35","47"
"22","Golden State Warriors","34-48","21-20","13-28","7-14","12-22",NA,"11-6","6-8","3-9","4-9","6-9","4-7",NA,"2006","34","48"
"23","Houston Rockets","34-48","15-26","19-22","7-9","13-19",NA,"4-11","6-7","5-11","10-3","7-8","2-8",NA,"2006","34","48"
"24","Boston Celtics","33-49","21-20","12-29","9-10","15-17",NA,"6-8","6-9","6-10","5-6","7-9","3-7",NA,"2006","33","49"
"25","Minnesota Timberwolves","33-49","24-17","9-32","4-10","16-19",NA,"7-6","7-7","7-9","3-10","6-10","3-7",NA,"2006","33","49"
"26","Toronto Raptors","27-55","15-26","12-29","5-11","12-20",NA,"1-15","7-7","7-8","5-6","6-10","1-9",NA,"2006","27","55"
"27","Atlanta Hawks","26-56","18-23","8-33","12-12","7-22",NA,"2-12","5-9","5-10","6-6","4-12","4-7",NA,"2006","26","56"
"28","Charlotte Bobcats","26-56","17-24","9-32","5-7","10-26",NA,"5-11","5-9","1-15","4-8","5-10","6-3",NA,"2006","26","56"
"29","New York Knicks","23-59","15-26","8-33","8-6","7-32",NA,"5-9","2-12","7-9","1-11","4-11","4-7",NA,"2006","23","59"
"30","Portland Trail Blazers","21-61","15-26","6-35","7-4","4-42",NA,"5-9","5-10","6-8","2-11","2-13","1-10",NA,"2006","21","61"
" 1","Dallas Mavericks","67-15","36-5","31-10","12-3","36-9","","11-4","13-3","14-2","10-0","13-2","6-4",NA,"2007","67","15"
" 2","Phoenix Suns","61-21","33-8","28-13","5-4","32-4","0-1","8-5","13-2","15-1","8-5","10-4","7-3",NA,"2007","61","21"
" 3","San Antonio Spurs","58-24","31-10","27-14","3-5","35-7","","11-5","12-3","9-7","7-3","13-2","6-4",NA,"2007","58","24"
" 4","Detroit Pistons","53-29","26-15","27-14","6-10","24-7","","10-5","8-6","8-7","10-1","10-7","7-3",NA,"2007","53","29"
" 5","Houston Rockets","52-30","28-13","24-17","4-4","25-13","","10-5","9-7","10-4","6-6","12-4","5-4",NA,"2007","52","30"
" 6","Utah Jazz","51-31","31-10","20-21","10-10","26-11","","13-4","9-5","8-8","8-2","9-6","4-6",NA,"2007","51","31"
" 7","Cleveland Cavaliers","50-32","30-11","20-21","9-7","25-11","","9-6","8-6","9-7","7-5","11-5","6-3",NA,"2007","50","32"
" 8","Chicago Bulls","49-33","31-10","18-23","9-9","28-15","1-0","4-9","14-3","7-8","7-7","10-4","6-2",NA,"2007","49","33"
" 9","Toronto Raptors","47-35","30-11","17-24","11-6","23-18","","5-10","8-8","10-5","9-3","8-6","7-3",NA,"2007","47","35"
"10","Denver Nuggets","45-37","23-18","22-19","3-7","23-17","","8-5","8-7","6-9","6-7","7-8","10-1",NA,"2007","45","37"
"11","Miami Heat","44-38","27-14","17-24","13-6","16-22","0-1","6-8","7-8","7-8","8-4","11-4","5-5",NA,"2007","44","38"
"12","Golden State Warriors","42-40","30-11","12-29","8-8","26-21","","9-7","7-9","5-9","5-8","8-6","8-1",NA,"2007","42","40"
"13","Los Angeles Lakers","42-40","25-16","17-24","5-4","18-16","1-0","9-5","10-6","8-7","5-7","5-9","4-6",NA,"2007","42","40"
"14","New Jersey Nets","41-41","24-17","17-24","6-8","17-17","","6-9","7-9","9-6","6-6","6-9","7-2",NA,"2007","41","41"
"15","Washington Wizards","41-41","26-15","15-26","12-7","19-16","","5-9","12-4","10-5","4-7","7-8","3-8",NA,"2007","41","41"
"16","Orlando Magic","40-42","25-16","15-26","10-7","20-19","","12-4","6-10","6-8","4-9","6-8","6-3",NA,"2007","40","42"
"17","Los Angeles Clippers","40-42","25-16","15-26","5-6","20-25","","7-7","7-9","9-6","5-7","8-8","4-5",NA,"2007","40","42"
"18","New Orleans/Oklahoma City Hornets","39-43","24-17","15-26","9-7","14-21","","8-7","4-11","7-8","9-4","5-10","6-3",NA,"2007","39","43"
"19","Indiana Pacers","35-47","22-19","13-28","5-7","18-24","","9-7","8-8","7-6","5-6","2-14","4-6",NA,"2007","35","47"
"20","Philadelphia 76ers","35-47","21-20","14-27","9-8","12-25","","5-9","3-13","7-10","5-6","9-6","6-3",NA,"2007","35","47"
"21","Charlotte Bobcats","33-49","20-21","13-28","2-4","15-23","","4-11","5-10","8-7","5-8","6-9","5-4",NA,"2007","33","49"
"22","New York Knicks","33-49","19-22","14-27","10-10","10-23","","6-11","7-9","7-8","6-5","5-9","2-7",NA,"2007","33","49"
"23","Sacramento Kings","33-49","20-21","13-28","5-6","14-19","","8-5","5-10","5-11","7-6","5-9","3-8",NA,"2007","33","49"
"24","Minnesota Timberwolves","32-50","20-21","12-29","7-10","9-25","","6-8","7-7","9-8","4-8","4-11","2-8",NA,"2007","32","50"
"25","Portland Trail Blazers","32-50","18-23","14-27","11-7","9-29","","6-10","7-8","7-9","4-7","5-10","3-6",NA,"2007","32","50"
"26","Seattle SuperSonics","31-51","20-21","11-30","10-10","14-23","","6-10","7-9","4-10","5-6","8-7","1-9",NA,"2007","31","51"
"27","Atlanta Hawks","30-52","18-23","12-29","7-7","11-30","","6-7","3-13","8-7","5-9","5-10","3-6",NA,"2007","30","52"
"28","Milwaukee Bucks","28-54","18-23","10-31","4-8","10-28","","5-9","11-6","2-13","3-9","4-9","3-8",NA,"2007","28","54"
"29","Boston Celtics","24-58","12-29","12-29","4-12","7-20","","5-9","5-10","2-14","3-9","7-8","2-8",NA,"2007","24","58"
"30","Memphis Grizzlies","22-60","14-27","8-33","5-12","8-26","","4-11","3-14","5-10","3-9","4-11","3-5",NA,"2007","22","60"
" 1","Boston Celtics","66-16","35-6","31-10","7-6","45-3","","13-2","13-1","10-5","9-4","13-3","8-1",NA,"2008","66","16"
" 2","Detroit Pistons","59-23","34-7","25-16","5-3","37-10","","9-5","15-2","9-6","9-3","10-5","7-2",NA,"2008","59","23"
" 3","Los Angeles Lakers","57-25","30-11","27-14","5-8","37-9","0-1","9-6","10-4","9-5","13-2","9-6","7-1",NA,"2008","57","25"
" 4","New Orleans Hornets","56-26","30-11","26-15","8-4","37-15","1-0","10-6","9-5","12-2","7-5","11-4","6-4",NA,"2008","56","26"
" 5","San Antonio Spurs","56-26","34-7","22-19","8-6","31-11","2-0","12-3","7-5","8-8","10-1","12-6","5-3",NA,"2008","56","26"
" 6","Houston Rockets","55-27","31-10","24-17","9-3","31-11","1-0","8-8","6-8","10-4","13-0","11-4","6-3",NA,"2008","55","27"
" 7","Phoenix Suns","55-27","30-11","25-16","3-5","31-9","","12-4","10-5","11-5","6-5","11-5","5-3",NA,"2008","55","27"
" 8","Utah Jazz","54-28","37-4","17-24","4-3","37-14","1-0","11-5","5-11","11-2","9-4","12-4","5-2",NA,"2008","54","28"
" 9","Orlando Magic","52-30","25-16","27-14","6-6","34-12","1-0","13-4","8-7","7-7","8-5","10-4","5-3",NA,"2008","52","30"
"10","Dallas Mavericks","51-31","34-7","17-24","5-6","29-11","1-0","10-5","9-6","11-3","8-6","7-8","5-3",NA,"2008","51","31"
"11","Denver Nuggets","50-32","33-8","17-24","6-6","29-18","1-0","9-7","8-5","9-6","8-5","10-6","5-3",NA,"2008","50","32"
"12","Golden State Warriors","48-34","27-14","21-20","9-2","22-14","0-1","8-6","11-6","9-6","7-3","10-6","3-6",NA,"2008","48","34"
"13","Cleveland Cavaliers","45-37","27-14","18-23","10-8","10-17","0-1","9-7","5-9","11-3","8-6","8-7","4-4",NA,"2008","45","37"
"14","Washington Wizards","43-39","25-16","18-23","5-9","26-19","0-1","7-8","8-5","9-6","4-10","10-6","5-3",NA,"2008","43","39"
"15","Toronto Raptors","41-41","25-16","16-25","3-3","26-16","1-0","8-7","8-8","8-5","7-5","6-11","3-5",NA,"2008","41","41"
"16","Portland Trail Blazers","41-41","28-13","13-28","10-2","15-22","0-1","5-10","13-2","8-6","5-9","7-8","3-5",NA,"2008","41","41"
"17","Philadelphia 76ers","40-42","22-19","18-23","4-8","18-20","0-1","5-9","9-7","4-11","8-5","11-4","3-5",NA,"2008","40","42"
"18","Sacramento Kings","38-44","26-15","12-29","10-8","17-23","0-1","5-9","6-8","9-6","6-8","7-8","5-4",NA,"2008","38","44"
"19","Atlanta Hawks","37-45","25-16","12-29","6-5","11-24","","6-9","9-4","4-11","6-8","9-8","3-5",NA,"2008","37","45"
"20","Indiana Pacers","36-46","21-20","15-26","4-3","14-22","1-0","7-9","7-8","4-10","4-9","8-7","5-3",NA,"2008","36","46"
"21","New Jersey Nets","34-48","21-20","13-28","7-3","8-31","1-0","6-8","7-8","5-10","7-6","5-11","3-5",NA,"2008","34","48"
"22","Chicago Bulls","33-49","20-21","13-28","4-3","19-29","0-1","3-9","8-8","7-9","5-8","6-9","4-5",NA,"2008","33","49"
"23","Charlotte Bobcats","32-50","21-20","11-30","8-6","12-24","","6-8","5-10","7-10","1-11","9-7","4-4",NA,"2008","32","50"
"24","Milwaukee Bucks","26-56","19-22","7-34","6-9","5-29","0-1","7-6","4-12","7-10","4-7","2-12","2-8",NA,"2008","26","56"
"25","Los Angeles Clippers","23-59","13-28","10-31","2-5","10-35","","6-8","4-11","4-9","5-9","3-15","1-7",NA,"2008","23","59"
"26","New York Knicks","23-59","15-26","8-33","4-5","6-33","","5-10","3-11","6-10","4-9","2-13","3-6",NA,"2008","23","59"
"27","Memphis Grizzlies","22-60","14-27","8-33","2-11","10-37","0-1","5-9","3-12","5-11","1-11","5-11","3-5",NA,"2008","22","60"
"28","Minnesota Timberwolves","22-60","15-26","7-34","4-8","8-35","","2-12","2-14","5-10","3-9","7-8","3-7",NA,"2008","22","60"
"29","Seattle SuperSonics","20-62","13-28","7-34","5-7","5-37","0-1","3-13","6-8","2-13","4-8","2-14","3-5",NA,"2008","20","62"
"30","Miami Heat","15-67","9-32","6-35","3-11","4-34","","4-11","4-12","1-13","2-10","2-15","2-6",NA,"2008","15","67"
" 1","Cleveland Cavaliers","66-16","39-2","27-14","3-3","41-7","1-1","13-2","12-2","10-4","9-3","16-1","5-3",NA,"2009","66","16"
" 2","Los Angeles Lakers","65-17","36-5","29-12","7-5","35-7","2-0","12-1","11-4","12-4","11-2","10-5","7-1",NA,"2009","65","17"
" 3","Boston Celtics","62-20","35-6","27-14","7-3","35-6","2-0","14-2","12-3","11-4","8-4","9-6","6-1",NA,"2009","62","20"
" 4","Orlando Magic","59-23","32-9","27-14","9-2","32-10","0-2","13-2","12-3","10-3","8-6","12-2","4-5",NA,"2009","59","23"
" 5","Denver Nuggets","54-28","33-8","21-20","8-5","32-14","1-1","11-5","9-6","10-4","8-4","10-6","5-2",NA,"2009","54","28"
" 6","Portland Trail Blazers","54-28","34-7","20-21","9-1","31-11","1-1","11-5","8-6","9-5","7-5","11-5","7-1",NA,"2009","54","28"
" 7","San Antonio Spurs","54-28","28-13","26-15","12-7","26-12","0-2","9-5","11-4","12-3","7-4","9-8","6-2",NA,"2009","54","28"
" 8","Houston Rockets","53-29","33-8","20-21","5-8","29-11","2-0","9-7","10-5","8-7","8-3","11-4","5-3",NA,"2009","53","29"
" 9","Dallas Mavericks","50-32","32-9","18-23","10-4","28-14","0-1","8-7","11-4","8-7","8-4","9-7","6-2",NA,"2009","50","32"
"10","New Orleans Hornets","49-33","28-13","21-20","8-1","23-17","2-0","7-6","10-3","9-7","7-6","11-5","3-6",NA,"2009","49","33"
"11","Utah Jazz","48-34","33-8","15-26","1-3","26-15","1-0","10-7","8-7","7-8","10-1","10-5","2-6",NA,"2009","48","34"
"12","Atlanta Hawks","47-35","31-10","16-25","5-7","18-13","1-0","9-6","11-4","6-10","6-5","10-7","4-3",NA,"2009","47","35"
"13","Phoenix Suns","46-36","28-13","18-23","5-3","23-21","1-1","10-6","7-5","7-8","8-5","7-9","6-2",NA,"2009","46","36"
"14","Miami Heat","43-39","28-13","15-26","7-6","16-17","1-1","7-8","9-4","8-8","6-6","8-8","4-4",NA,"2009","43","39"
"15","Chicago Bulls","41-41","28-13","13-28","4-8","18-19","1-1","7-8","6-9","7-9","6-6","9-7","5-1",NA,"2009","41","41"
"16","Philadelphia 76ers","41-41","24-17","17-24","6-9","15-19","1-1","6-9","6-8","10-5","6-6","9-6","3-6",NA,"2009","41","41"
"17","Detroit Pistons","39-43","21-20","18-23","5-6","12-16","1-0","9-6","9-5","6-9","3-9","8-9","3-5",NA,"2009","39","43"
"18","Indiana Pacers","36-46","25-16","11-30","9-12","9-15","0-1","6-9","4-11","9-8","6-7","7-7","4-3",NA,"2009","36","46"
"19","Charlotte Bobcats","35-47","23-18","12-29","5-5","14-18","0-1","5-10","6-10","8-7","6-7","9-5","1-7",NA,"2009","35","47"
"20","Milwaukee Bucks","34-48","22-19","12-29","5-3","16-21","1-1","6-11","8-6","9-9","5-6","3-10","2-5",NA,"2009","34","48"
"21","New Jersey Nets","34-48","19-22","15-26","6-8","18-24","1-0","8-7","6-10","6-10","5-5","4-12","4-4",NA,"2009","34","48"
"22","Toronto Raptors","33-49","18-23","15-26","3-4","15-24","2-0","6-8","4-12","7-9","4-8","5-8","5-4",NA,"2009","33","49"
"23","New York Knicks","32-50","20-21","12-29","1-4","12-20","1-1","7-7","4-10","9-7","3-10","5-11","3-4",NA,"2009","32","50"
"24","Golden State Warriors","29-53","21-20","8-33","3-6","13-25","0-2","5-10","5-12","5-9","5-5","5-11","4-4",NA,"2009","29","53"
"25","Memphis Grizzlies","24-58","16-25","8-33","2-4","11-38","1-1","3-12","6-9","1-13","4-8","4-11","5-4",NA,"2009","24","58"
"26","Minnesota Timberwolves","24-58","11-30","13-28","6-8","7-27","1-0","3-11","2-14","10-4","2-11","3-14","3-4",NA,"2009","24","58"
"27","Oklahoma City Thunder","23-59","15-26","8-33","7-9","6-34","0-1","2-15","2-13","7-7","3-9","7-8","2-6",NA,"2009","23","59"
"28","Los Angeles Clippers","19-63","11-30","8-33","4-8","10-41","0-2","3-11","5-10","2-14","5-8","3-11","1-7",NA,"2009","19","63"
"29","Washington Wizards","19-63","13-28","6-35","7-5","7-35","0-1","2-11","4-12","4-13","4-8","3-13","2-5",NA,"2009","19","63"
"30","Sacramento Kings","17-65","11-30","6-35","2-14","6-33","0-2","5-12","3-10","2-14","3-10","3-9","1-8",NA,"2009","17","65"
" 1","Cleveland Cavaliers","61-21","35-6","26-15","7-8","32-5","2-2","10-3","14-3","12-3","8-3","13-2","2-5",NA,"2010","61","21"
