Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,3,10,Nov,Dec,Jan,Feb,Mar,Apr
1,Detroit Pistons,63-19,37-4,26-15,41-15,22-4,21-5,20-10,10-2,12-2,31-13,32-6,6-4,33-10,11-3,9-4,8-6,8-3,16-1,11-2
2,Cleveland Cavaliers,57-25,37-4,20-21,38-18,19-7,19-7,19-11,10-2,9-5,35-11,22-14,6-7,39-9,8-3,13-2,11-4,10-3,9-8,6-5
3,Los Angeles Lakers,57-25,35-6,22-19,14-10,43-15,8-4,6-6,18-6,25-9,32-15,25-10,9-7,35-10,10-3,9-7,11-3,7-4,11-4,9-4
4,Phoenix Suns,55-27,35-6,20-21,14-10,41-17,10-2,4-8,18-6,23-11,29-17,26-10,5-4,33-14,6-7,10-4,10-4,8-5,12-6,9-1
5,Atlanta Hawks,52-30,33-8,19-22,38-18,14-12,18-8,20-10,5-7,9-5,28-19,24-11,10-9,29-12,8-6,11-3,7-7,9-4,7-8,10-2
6,New York Knicks,52-30,35-6,17-24,36-20,16-10,18-12,18-8,8-4,8-6,32-16,20-14,8-7,27-13,9-5,9-5,10-6,9-2,10-7,5-5
7,Utah Jazz,51-31,34-7,17-24,14-10,37-21,8-4,6-6,19-11,18-10,28-20,23-11,6-7,36-15,9-4,8-8,9-4,8-6,10-4,7-5
8,Milwaukee Bucks,49-33,31-10,18-23,29-27,20-6,18-8,11-19,9-3,11-3,30-15,19-18,1-7,31-15,6-5,9-6,12-3,7-4,10-7,5-8
9,Chicago Bulls,47-35,30-11,17-24,28-28,19-7,16-10,12-18,8-4,11-3,27-19,20-16,9-4,21-16,6-8,9-4,9-5,9-4,10-6,4-8
10,Seattle SuperSonics,47-35,31-10,16-25,10-14,37-21,6-6,4-8,17-7,20-14,28-18,19-17,9-7,21-15,6-7,8-5,12-3,7-6,6-11,8-3
11,Philadelphia 76ers,46-36,30-11,16-25,31-25,15-11,19-11,12-14,8-4,7-7,26-20,20-16,9-5,23-14,10-5,5-9,9-5,6-5,9-7,7-5
12,Houston Rockets,45-37,31-10,14-27,12-12,33-25,5-7,7-5,19-11,14-14,28-18,17-19,9-10,22-17,9-6,9-5,7-6,6-6,8-8,6-6
13,Denver Nuggets,44-38,35-6,9-32,12-12,32-26,7-5,5-7,18-12,14-14,25-23,19-15,7-9,25-20,9-4,8-7,5-11,8-4,8-6,6-6
14,Golden State Warriors,43-39,29-12,14-27,14-10,29-29,9-3,5-7,14-10,15-19,25-20,18-19,5-6,20-21,6-7,5-7,11-5,9-2,9-10,3-8
15,Boston Celtics,42-40,32-9,10-31,27-29,15-11,19-11,8-18,8-4,7-7,23-23,19-17,5-7,22-19,8-7,5-7,7-8,6-7,11-4,5-7
16,Washington Bullets,40-42,30-11,10-31,25-31,15-11,17-13,8-18,7-5,8-6,17-28,23-14,8-5,12-23,4-7,4-11,8-6,6-7,11-6,7-5
17,Portland Trail Blazers,39-43,28-13,11-30,9-15,30-28,7-5,2-10,13-11,17-17,25-21,14-22,4-11,22-15,7-7,9-4,6-8,5-7,5-12,7-5
18,Dallas Mavericks,38-44,24-17,14-27,8-16,30-28,6-6,2-10,19-11,11-17,24-21,14-23,6-9,17-26,9-4,8-5,4-11,8-5,3-14,6-5
19,Indiana Pacers,28-54,20-21,8-33,15-41,13-13,7-19,8-22,6-6,7-7,11-35,17-19,6-9,11-25,2-12,3-10,6-9,3-9,8-8,6-6
20,Sacramento Kings,27-55,21-20,6-35,4-20,23-35,3-9,1-11,11-13,12-22,14-32,13-23,7-6,13-34,2-9,4-10,6-10,3-10,6-10,6-6
21,New Jersey Nets,26-56,17-24,9-32,16-40,10-16,9-21,7-19,4-8,6-8,18-29,8-27,7-8,7-32,7-9,5-8,5-8,4-10,3-13,2-8
22,Los Angeles Clippers,21-61,17-24,4-37,4-20,17-41,1-11,3-9,10-14,7-27,11-37,10-24,8-7,6-39,6-8,4-10,0-14,1-14,6-7,4-8
23,San Antonio Spurs,21-61,18-23,3-38,6-18,15-43,4-8,2-10,9-21,6-22,13-33,8-28,2-6,14-38,5-8,2-12,5-10,1-12,6-10,2-9
24,Charlotte Hornets,20-62,12-29,8-33,12-44,8-18,8-22,4-22,4-8,4-10,13-35,7-27,9-4,5-36,3-10,5-9,3-13,4-8,2-13,3-9
25,Miami Heat,15-67,12-29,3-38,5-19,10-48,3-9,2-10,6-24,4-24,5-40,10-27,8-4,3-39,0-12,3-12,1-13,4-9,5-11,2-10